invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,invoice_year,invoice_month,invoice_day,day_of_week,is_weekend,unit_price,age_group,quantity_band,price_deviation_from_category
I185669,C265435,Male,25,Food & Beverage,1,5.23,Cash,12/24/2022 0:00,Metrocity,2022,12,24,5,1,5.23,18_25,single,0
I121416,C176937,Male,55,Food & Beverage,1,5.23,Credit Card,9/18/2022 0:00,Kanyon,2022,9,18,6,1,5.23,46_55,single,0
I331488,C167416,Male,59,Technology,2,2100,Cash,6/23/2022 0:00,Metrocity,2022,6,23,3,0,1050,56_plus,small,0
I337081,C298650,Female,32,Souvenir,5,58.65,Cash,6/4/2022 0:00,Metrocity,2022,6,4,5,1,11.73,26_35,bulk,0
I492011,C338345,Female,56,Technology,1,1050,Cash,9/13/2022 0:00,Emaar Square Mall,2022,9,13,1,0,1050,56_plus,single,0
I839765,C204261,Male,42,Clothing,1,300.08,Cash,8/17/2021 0:00,Kanyon,2021,8,17,1,0,300.08,36_45,single,0
I546932,C278598,Female,60,Clothing,3,900.24,Debit Card,5/3/2021 0:00,Mall of Istanbul,2021,5,3,0,0,300.08,56_plus,small,0
I182257,C733821,Male,62,Cosmetics,1,40.66,Credit Card,12/4/2022 0:00,Istinye Park,2022,12,4,6,1,40.66,56_plus,single,0
I163867,C715776,Female,69,Food & Beverage,4,20.92,Cash,2/25/2021 0:00,Mall of Istanbul,2021,2,25,3,0,5.23,56_plus,bulk,0
I237485,C202624,Male,52,Food & Beverage,3,15.69,Cash,3/17/2021 0:00,Metropol AVM,2021,3,17,2,0,5.23,46_55,small,-8.88E-16
I224834,C330670,Female,28,Souvenir,4,46.92,Cash,3/4/2022 0:00,Metropol AVM,2022,3,4,4,0,11.73,26_35,bulk,0
I243426,C274481,Female,50,Toys,5,179.2,Cash,2/2/2023 0:00,Mall of Istanbul,2023,2,2,3,0,35.84,46_55,bulk,-7.11E-15
I203364,C287265,Male,21,Food & Beverage,3,15.69,Cash,4/15/2021 0:00,Metrocity,2021,4,15,3,0,5.23,18_25,small,-8.88E-16
I339014,C128115,Female,24,Food & Beverage,3,15.69,Credit Card,1/18/2022 0:00,Viaport Outlet,2022,1,18,1,0,5.23,18_25,small,-8.88E-16
I119218,C841556,Female,35,Toys,5,179.2,Credit Card,8/24/2022 0:00,Istinye Park,2022,8,24,2,0,35.84,26_35,bulk,-7.11E-15
I329032,C718955,Female,38,Clothing,5,1500.4,Debit Card,10/23/2022 0:00,Kanyon,2022,10,23,6,1,300.08000000000004,36_45,bulk,5.684341886080804e-14
I306422,C209598,Female,45,Clothing,5,1500.4,Debit Card,2/15/2023 0:00,Metrocity,2023,2,15,2,0,300.08000000000004,36_45,bulk,5.684341886080804e-14
I340161,C218673,Male,31,Clothing,5,1500.4,Debit Card,12/21/2021 0:00,Viaport Outlet,2021,12,21,1,0,300.08000000000004,26_35,bulk,5.684341886080804e-14
I137110,C310390,Male,63,Cosmetics,5,203.3,Cash,6/9/2021 0:00,Metrocity,2021,6,9,2,0,40.66,56_plus,bulk,7.105427357601002e-15
I119696,C237263,Female,28,Toys,3,107.52,Cash,1/27/2023 0:00,Istinye Park,2023,1,27,4,0,35.84,26_35,small,-7.11E-15
I208536,C244259,Female,28,Toys,1,35.84,Debit Card,12/11/2021 0:00,Mall of Istanbul,2021,12,11,5,1,35.84,26_35,single,0
I187990,C109027,Female,46,Food & Beverage,3,15.69,Cash,10/23/2022 0:00,Mall of Istanbul,2022,10,23,6,1,5.23,46_55,small,-8.88E-16
I146902,C263586,Male,65,Food & Beverage,3,15.69,Credit Card,10/10/2021 0:00,Mall of Istanbul,2021,10,10,6,1,5.23,56_plus,small,-8.88E-16
I174091,C765922,Female,39,Shoes,5,3000.85,Cash,11/27/2021 0:00,Kanyon,2021,11,27,5,1,600.17,36_45,bulk,0
I846448,C870412,Female,24,Cosmetics,1,40.66,Debit Card,2/24/2023 0:00,Emaar Square Mall,2023,2,24,4,0,40.66,18_25,single,0
I197912,C688590,Male,59,Clothing,2,600.16,Debit Card,9/17/2022 0:00,Metrocity,2022,9,17,5,1,300.08,56_plus,small,0
I316933,C259960,Female,47,Shoes,5,3000.85,Credit Card,8/6/2022 0:00,Istinye Park,2022,8,6,5,1,600.17,46_55,bulk,0
I375800,C105405,Female,64,Cosmetics,3,121.98,Credit Card,1/8/2023 0:00,Istinye Park,2023,1,8,6,1,40.66,56_plus,small,7.105427357601002e-15
I363010,C266726,Female,20,Clothing,5,1500.4,Credit Card,7/2/2021 0:00,Metropol AVM,2021,7,2,4,0,300.08000000000004,18_25,bulk,5.684341886080804e-14
I152979,C189163,Female,40,Souvenir,1,11.73,Credit Card,6/24/2022 0:00,Forum Istanbul,2022,6,24,4,0,11.73,36_45,single,0
I181426,C225175,Female,30,Clothing,4,1200.32,Debit Card,8/7/2022 0:00,Kanyon,2022,8,7,6,1,300.08,26_35,bulk,0
I285686,C810843,Male,41,Clothing,4,1200.32,Credit Card,4/2/2022 0:00,Kanyon,2022,4,2,5,1,300.08,36_45,bulk,0
I297633,C311887,Female,35,Clothing,1,300.08,Cash,2/8/2023 0:00,Viaport Outlet,2023,2,8,2,0,300.08,26_35,single,0
I305717,C142368,Male,43,Shoes,3,1800.51,Cash,6/28/2022 0:00,Metrocity,2022,6,28,1,0,600.17,36_45,small,0
I234766,C291934,Female,48,Clothing,3,900.24,Cash,8/15/2022 0:00,Kanyon,2022,8,15,0,0,300.08,46_55,small,0
I312898,C233184,Female,47,Food & Beverage,1,5.23,Cash,4/15/2021 0:00,Metrocity,2021,4,15,3,0,5.23,46_55,single,0
I147053,C331958,Female,26,Toys,4,143.36,Cash,11/25/2022 0:00,Kanyon,2022,11,25,4,0,35.84,26_35,bulk,0
I346832,C584715,Female,35,Cosmetics,5,203.3,Cash,2/7/2023 0:00,Metrocity,2023,2,7,1,0,40.66,26_35,bulk,7.105427357601002e-15
I330313,C377389,Female,53,Books,5,75.75,Credit Card,5/15/2021 0:00,Istinye Park,2021,5,15,5,1,15.15,46_55,bulk,0
I120820,C248475,Male,46,Souvenir,1,11.73,Cash,7/10/2021 0:00,Istinye Park,2021,7,10,5,1,11.73,46_55,single,0
I224689,C185439,Female,32,Clothing,4,1200.32,Debit Card,9/15/2021 0:00,Kanyon,2021,9,15,2,0,300.08,26_35,bulk,0
I144592,C529879,Female,51,Shoes,4,2400.68,Credit Card,4/15/2021 0:00,Metropol AVM,2021,4,15,3,0,600.17,46_55,bulk,0
I126713,C157168,Female,48,Toys,1,35.84,Credit Card,3/28/2021 0:00,Kanyon,2021,3,28,6,1,35.84,46_55,single,0
I242696,C620204,Male,68,Clothing,2,600.16,Cash,12/20/2022 0:00,Istinye Park,2022,12,20,1,0,300.08,56_plus,small,0
I204163,C143452,Female,50,Shoes,2,1200.34,Cash,6/23/2021 0:00,Zorlu Center,2021,6,23,2,0,600.17,46_55,small,0
I758318,C312467,Female,20,Clothing,4,1200.32,Cash,10/23/2022 0:00,Mall of Istanbul,2022,10,23,6,1,300.08,18_25,bulk,0
I336253,C204821,Male,59,Souvenir,3,35.19,Cash,12/29/2021 0:00,Mall of Istanbul,2021,12,29,2,0,11.73,56_plus,small,-1.78E-15
I226755,C129887,Male,24,Clothing,4,1200.32,Cash,2/28/2022 0:00,Kanyon,2022,2,28,0,0,300.08,18_25,bulk,0
I152138,C845526,Male,43,Clothing,3,900.24,Credit Card,2/26/2022 0:00,Mall of Istanbul,2022,2,26,5,1,300.08,36_45,small,0
I236923,C187824,Male,37,Shoes,1,600.17,Credit Card,1/26/2023 0:00,Istinye Park,2023,1,26,3,0,600.17,36_45,single,0
I819076,C628277,Female,54,Cosmetics,2,81.32,Credit Card,7/18/2021 0:00,Istinye Park,2021,7,18,6,1,40.66,46_55,small,0
I315607,C202006,Female,68,Clothing,5,1500.4,Credit Card,12/18/2022 0:00,Mall of Istanbul,2022,12,18,6,1,300.08000000000004,56_plus,bulk,5.684341886080804e-14
I248733,C324999,Female,55,Cosmetics,1,40.66,Cash,5/25/2022 0:00,Istinye Park,2022,5,25,2,0,40.66,46_55,single,0
I164676,C499723,Male,18,Clothing,4,1200.32,Credit Card,4/26/2021 0:00,Emaar Square Mall,2021,4,26,0,0,300.08,18_25,bulk,0
I279299,C285753,Male,30,Clothing,1,300.08,Debit Card,1/5/2023 0:00,Forum Istanbul,2023,1,5,3,0,300.08,26_35,single,0
I816495,C327817,Female,20,Cosmetics,5,203.3,Cash,1/8/2023 0:00,Mall of Istanbul,2023,1,8,6,1,40.66,18_25,bulk,7.105427357601002e-15
I144916,C269165,Female,33,Clothing,4,1200.32,Debit Card,3/30/2021 0:00,Metrocity,2021,3,30,1,0,300.08,26_35,bulk,0
I197793,C365824,Female,26,Souvenir,3,35.19,Credit Card,5/12/2022 0:00,Metrocity,2022,5,12,3,0,11.73,26_35,small,-1.78E-15
I323225,C193308,Male,64,Food & Beverage,4,20.92,Cash,12/6/2022 0:00,Kanyon,2022,12,6,1,0,5.23,56_plus,bulk,0
I218038,C473186,Male,24,Clothing,3,900.24,Cash,8/10/2022 0:00,Mall of Istanbul,2022,8,10,2,0,300.08,18_25,small,0
I327255,C238167,Male,69,Clothing,5,1500.4,Cash,12/22/2021 0:00,Metropol AVM,2021,12,22,2,0,300.08000000000004,56_plus,bulk,5.684341886080804e-14
I101983,C889640,Male,57,Toys,1,35.84,Credit Card,9/16/2021 0:00,Zorlu Center,2021,9,16,3,0,35.84,56_plus,single,0
I266144,C221518,Male,66,Clothing,5,1500.4,Debit Card,2/10/2022 0:00,Mall of Istanbul,2022,2,10,3,0,300.08000000000004,56_plus,bulk,5.684341886080804e-14
I293599,C154921,Female,37,Technology,5,5250,Cash,2/9/2021 0:00,Istinye Park,2021,2,9,1,0,1050,36_45,bulk,0
I318444,C436111,Male,35,Clothing,2,600.16,Credit Card,3/15/2021 0:00,Istinye Park,2021,3,15,0,0,300.08,26_35,small,0
I194793,C213259,Female,28,Clothing,2,600.16,Debit Card,3/17/2022 0:00,Metrocity,2022,3,17,3,0,300.08,26_35,small,0
I385465,C159618,Female,51,Cosmetics,4,162.64,Credit Card,7/29/2021 0:00,Istinye Park,2021,7,29,3,0,40.66,46_55,bulk,0
I623059,C826241,Female,43,Clothing,5,1500.4,Credit Card,1/19/2021 0:00,Metrocity,2021,1,19,1,0,300.08000000000004,36_45,bulk,5.684341886080804e-14
I750844,C258618,Female,18,Food & Beverage,4,20.92,Credit Card,8/6/2022 0:00,Cevahir AVM,2022,8,6,5,1,5.23,18_25,bulk,0
I100128,C168282,Female,23,Clothing,3,900.24,Credit Card,7/16/2022 0:00,Istinye Park,2022,7,16,5,1,300.08,18_25,small,0
I274200,C315072,Male,57,Food & Beverage,5,26.15,Cash,3/13/2021 0:00,Cevahir AVM,2021,3,13,5,1,5.23,56_plus,bulk,-8.88E-16
I143821,C327130,Female,67,Cosmetics,1,40.66,Credit Card,12/4/2021 0:00,Metrocity,2021,12,4,5,1,40.66,56_plus,single,0
I761133,C269911,Male,65,Cosmetics,1,40.66,Cash,4/7/2022 0:00,Metrocity,2022,4,7,3,0,40.66,56_plus,single,0
I144128,C272107,Male,53,Food & Beverage,1,5.23,Debit Card,1/6/2021 0:00,Mall of Istanbul,2021,1,6,2,0,5.23,46_55,single,0
I533779,C170186,Female,65,Clothing,1,300.08,Credit Card,11/20/2021 0:00,Emaar Square Mall,2021,11,20,5,1,300.08,56_plus,single,0
I915565,C998227,Male,56,Clothing,3,900.24,Debit Card,9/6/2021 0:00,Metrocity,2021,9,6,0,0,300.08,56_plus,small,0
I251096,C227531,Male,43,Food & Beverage,1,5.23,Credit Card,1/26/2021 0:00,Cevahir AVM,2021,1,26,1,0,5.23,36_45,single,0
I220755,C281781,Female,39,Clothing,5,1500.4,Cash,12/20/2022 0:00,Emaar Square Mall,2022,12,20,1,0,300.08000000000004,36_45,bulk,5.684341886080804e-14
I117455,C122341,Female,25,Cosmetics,5,203.3,Cash,3/19/2022 0:00,Viaport Outlet,2022,3,19,5,1,40.66,18_25,bulk,7.105427357601002e-15
I239136,C300766,Female,28,Cosmetics,3,121.98,Credit Card,3/23/2022 0:00,Forum Istanbul,2022,3,23,2,0,40.66,26_35,small,7.105427357601002e-15
I211937,C215297,Female,48,Clothing,4,1200.32,Credit Card,1/9/2021 0:00,Istinye Park,2021,1,9,5,1,300.08,46_55,bulk,0
I323417,C751265,Female,64,Food & Beverage,4,20.92,Cash,6/19/2022 0:00,Mall of Istanbul,2022,6,19,6,1,5.23,56_plus,bulk,0
I241237,C286198,Male,21,Books,3,45.45,Cash,5/16/2021 0:00,Forum Istanbul,2021,5,16,6,1,15.15,18_25,small,0
I226743,C884249,Female,54,Clothing,1,300.08,Cash,4/30/2022 0:00,Viaport Outlet,2022,4,30,5,1,300.08,46_55,single,0
I824833,C128785,Female,29,Cosmetics,5,203.3,Credit Card,6/27/2021 0:00,Mall of Istanbul,2021,6,27,6,1,40.66,26_35,bulk,7.105427357601002e-15
I330083,C133236,Female,67,Cosmetics,5,203.3,Credit Card,12/18/2022 0:00,Metropol AVM,2022,12,18,6,1,40.66,56_plus,bulk,7.105427357601002e-15
I223235,C233798,Female,67,Shoes,4,2400.68,Cash,9/24/2022 0:00,Metropol AVM,2022,9,24,5,1,600.17,56_plus,bulk,0
I228823,C901652,Male,32,Clothing,2,600.16,Debit Card,3/26/2022 0:00,Metropol AVM,2022,3,26,5,1,300.08,26_35,small,0
I216756,C811428,Female,44,Clothing,2,600.16,Cash,4/8/2021 0:00,Emaar Square Mall,2021,4,8,3,0,300.08,36_45,small,0
I274479,C318956,Male,19,Clothing,1,300.08,Cash,3/18/2022 0:00,Istinye Park,2022,3,18,4,0,300.08,18_25,single,0
I169052,C142119,Male,50,Books,3,45.45,Cash,2/1/2022 0:00,Zorlu Center,2022,2,1,1,0,15.15,46_55,small,0
I218554,C374574,Female,41,Clothing,5,1500.4,Cash,10/5/2022 0:00,Istinye Park,2022,10,5,2,0,300.08000000000004,36_45,bulk,5.684341886080804e-14
I441007,C125277,Male,56,Cosmetics,5,203.3,Cash,12/14/2021 0:00,Mall of Istanbul,2021,12,14,1,0,40.66,56_plus,bulk,7.105427357601002e-15
I373059,C599694,Male,55,Clothing,1,300.08,Credit Card,9/17/2021 0:00,Metrocity,2021,9,17,4,0,300.08,46_55,single,0
I307289,C333554,Female,48,Technology,5,5250,Credit Card,6/30/2022 0:00,Kanyon,2022,6,30,3,0,1050,46_55,bulk,0
I223451,C668855,Male,40,Food & Beverage,3,15.69,Debit Card,1/7/2022 0:00,Mall of Istanbul,2022,1,7,4,0,5.23,36_45,small,-8.88E-16
I118027,C289384,Female,24,Souvenir,5,58.65,Cash,2/9/2021 0:00,Zorlu Center,2021,2,9,1,0,11.73,18_25,bulk,0
I224429,C108032,Female,50,Food & Beverage,5,26.15,Cash,9/6/2022 0:00,Emaar Square Mall,2022,9,6,1,0,5.23,46_55,bulk,-8.88E-16
I105730,C363373,Male,43,Clothing,2,600.16,Cash,9/27/2022 0:00,Forum Istanbul,2022,9,27,1,0,300.08,36_45,small,0
I120630,C910576,Female,56,Toys,3,107.52,Cash,6/21/2021 0:00,Istinye Park,2021,6,21,0,0,35.84,56_plus,small,-7.11E-15
I802146,C312653,Female,44,Shoes,4,2400.68,Cash,11/22/2022 0:00,Emaar Square Mall,2022,11,22,1,0,600.17,36_45,bulk,0
I109888,C666098,Male,53,Toys,3,107.52,Credit Card,8/17/2021 0:00,Mall of Istanbul,2021,8,17,1,0,35.84,46_55,small,-7.11E-15
I246756,C721528,Male,38,Clothing,3,900.24,Debit Card,4/16/2022 0:00,Forum Istanbul,2022,4,16,5,1,300.08,36_45,small,0
I288923,C202533,Male,52,Technology,2,2100,Credit Card,9/10/2021 0:00,Emaar Square Mall,2021,9,10,4,0,1050,46_55,small,0
I241191,C326346,Male,52,Food & Beverage,2,10.46,Cash,3/29/2022 0:00,Metropol AVM,2022,3,29,1,0,5.23,46_55,small,0
I934473,C761370,Female,47,Food & Beverage,3,15.69,Credit Card,6/25/2021 0:00,Kanyon,2021,6,25,4,0,5.23,46_55,small,-8.88E-16
I314723,C275281,Female,33,Technology,2,2100,Credit Card,7/9/2022 0:00,Cevahir AVM,2022,7,9,5,1,1050,26_35,small,0
I415194,C162730,Female,28,Cosmetics,2,81.32,Cash,1/9/2022 0:00,Mall of Istanbul,2022,1,9,6,1,40.66,26_35,small,0
I122787,C240190,Male,65,Books,5,75.75,Credit Card,8/10/2021 0:00,Istinye Park,2021,8,10,1,0,15.15,56_plus,bulk,0
I182930,C882631,Male,68,Clothing,5,1500.4,Cash,4/4/2021 0:00,Mall of Istanbul,2021,4,4,6,1,300.08000000000004,56_plus,bulk,5.684341886080804e-14
I160471,C356895,Female,69,Clothing,3,900.24,Cash,3/26/2022 0:00,Metropol AVM,2022,3,26,5,1,300.08,56_plus,small,0
I244790,C262168,Female,33,Clothing,4,1200.32,Debit Card,4/5/2022 0:00,Metropol AVM,2022,4,5,1,0,300.08,26_35,bulk,0
I234411,C882687,Female,42,Toys,2,71.68,Cash,5/28/2022 0:00,Zorlu Center,2022,5,28,5,1,35.84,36_45,small,0
I474441,C283371,Female,37,Shoes,3,1800.51,Cash,11/30/2022 0:00,Metrocity,2022,11,30,2,0,600.17,36_45,small,0
I157066,C209663,Female,46,Clothing,3,900.24,Credit Card,7/16/2022 0:00,Istinye Park,2022,7,16,5,1,300.08,46_55,small,0
I378576,C250995,Male,24,Cosmetics,2,81.32,Cash,5/20/2021 0:00,Kanyon,2021,5,20,3,0,40.66,18_25,small,0
I298558,C107210,Female,62,Clothing,4,1200.32,Credit Card,11/4/2021 0:00,Mall of Istanbul,2021,11,4,3,0,300.08,56_plus,bulk,0
I323626,C239979,Male,43,Shoes,5,3000.85,Credit Card,6/1/2022 0:00,Istinye Park,2022,6,1,2,0,600.17,36_45,bulk,0
I168183,C187680,Male,54,Books,2,30.3,Cash,6/10/2021 0:00,Zorlu Center,2021,6,10,3,0,15.15,46_55,small,0
I210804,C150874,Female,23,Clothing,2,600.16,Debit Card,2/18/2022 0:00,Metropol AVM,2022,2,18,4,0,300.08,18_25,small,0
I218225,C275329,Female,25,Clothing,2,600.16,Debit Card,11/29/2021 0:00,Kanyon,2021,11,29,0,0,300.08,18_25,small,0
I246671,C291435,Female,27,Books,1,15.15,Cash,1/26/2023 0:00,Mall of Istanbul,2023,1,26,3,0,15.15,26_35,single,0
I381232,C736050,Female,67,Cosmetics,1,40.66,Debit Card,2/13/2022 0:00,Mall of Istanbul,2022,2,13,6,1,40.66,56_plus,single,0
I618591,C465351,Male,38,Clothing,1,300.08,Cash,4/23/2022 0:00,Metrocity,2022,4,23,5,1,300.08,36_45,single,0
I143101,C101173,Female,52,Cosmetics,2,81.32,Credit Card,9/16/2022 0:00,Emaar Square Mall,2022,9,16,4,0,40.66,46_55,small,0
I326718,C230662,Male,55,Clothing,3,900.24,Debit Card,1/5/2023 0:00,Istinye Park,2023,1,5,3,0,300.08,46_55,small,0
I167612,C134538,Male,64,Cosmetics,1,40.66,Credit Card,6/2/2022 0:00,Emaar Square Mall,2022,6,2,3,0,40.66,56_plus,single,0
I943543,C525345,Male,37,Food & Beverage,4,20.92,Debit Card,10/4/2021 0:00,Kanyon,2021,10,4,0,0,5.23,36_45,bulk,0
I235133,C415932,Male,37,Food & Beverage,5,26.15,Cash,5/12/2022 0:00,Kanyon,2022,5,12,3,0,5.23,36_45,bulk,-8.88E-16
I139682,C106133,Female,21,Toys,3,107.52,Credit Card,4/14/2022 0:00,Kanyon,2022,4,14,3,0,35.84,18_25,small,-7.11E-15
I135576,C698021,Female,54,Clothing,4,1200.32,Debit Card,12/28/2022 0:00,Istinye Park,2022,12,28,2,0,300.08,46_55,bulk,0
I509979,C227945,Male,49,Food & Beverage,2,10.46,Debit Card,2/13/2021 0:00,Istinye Park,2021,2,13,5,1,5.23,46_55,small,0
I161134,C282556,Female,41,Clothing,5,1500.4,Credit Card,1/7/2023 0:00,Metrocity,2023,1,7,5,1,300.08000000000004,36_45,bulk,5.684341886080804e-14
I637668,C230537,Female,42,Clothing,1,300.08,Cash,8/22/2022 0:00,Mall of Istanbul,2022,8,22,0,0,300.08,36_45,single,0
I301930,C329071,Male,43,Souvenir,2,23.46,Cash,6/15/2021 0:00,Metrocity,2021,6,15,1,0,11.73,36_45,small,0
I343063,C858918,Female,18,Souvenir,2,23.46,Cash,1/6/2021 0:00,Kanyon,2021,1,6,2,0,11.73,18_25,small,0
I298132,C456973,Male,60,Clothing,3,900.24,Cash,2/17/2022 0:00,Kanyon,2022,2,17,3,0,300.08,56_plus,small,0
I759667,C295797,Female,32,Toys,4,143.36,Cash,4/27/2022 0:00,Metropol AVM,2022,4,27,2,0,35.84,26_35,bulk,0
I187707,C985329,Female,41,Food & Beverage,1,5.23,Cash,12/2/2022 0:00,Metrocity,2022,12,2,4,0,5.23,36_45,single,0
I213305,C692884,Male,63,Cosmetics,3,121.98,Debit Card,2/13/2022 0:00,Mall of Istanbul,2022,2,13,6,1,40.66,56_plus,small,7.105427357601002e-15
I267863,C159328,Male,37,Food & Beverage,1,5.23,Credit Card,9/27/2022 0:00,Metropol AVM,2022,9,27,1,0,5.23,36_45,single,0
I103932,C112853,Female,32,Shoes,5,3000.85,Debit Card,4/13/2022 0:00,Mall of Istanbul,2022,4,13,2,0,600.17,26_35,bulk,0
I231924,C230400,Male,36,Cosmetics,1,40.66,Cash,11/2/2021 0:00,Kanyon,2021,11,2,1,0,40.66,36_45,single,0
I394044,C108674,Female,56,Souvenir,4,46.92,Debit Card,2/27/2021 0:00,Kanyon,2021,2,27,5,1,11.73,56_plus,bulk,0
I301491,C240768,Female,65,Clothing,1,300.08,Debit Card,1/22/2022 0:00,Kanyon,2022,1,22,5,1,300.08,56_plus,single,0
I184675,C400970,Female,31,Food & Beverage,3,15.69,Credit Card,11/5/2021 0:00,Metrocity,2021,11,5,4,0,5.23,26_35,small,-8.88E-16
I225914,C158148,Female,30,Clothing,2,600.16,Credit Card,11/20/2022 0:00,Emaar Square Mall,2022,11,20,6,1,300.08,26_35,small,0
I194174,C236828,Female,37,Cosmetics,2,81.32,Cash,2/16/2021 0:00,Istinye Park,2021,2,16,1,0,40.66,36_45,small,0
I147442,C293813,Male,61,Books,4,60.6,Debit Card,4/12/2022 0:00,Metropol AVM,2022,4,12,1,0,15.15,56_plus,bulk,0
I119245,C249410,Female,59,Shoes,2,1200.34,Cash,11/14/2022 0:00,Istinye Park,2022,11,14,0,0,600.17,56_plus,small,0
I177536,C123510,Female,30,Clothing,1,300.08,Cash,5/26/2022 0:00,Metropol AVM,2022,5,26,3,0,300.08,26_35,single,0
I189253,C759407,Female,19,Books,3,45.45,Cash,5/31/2022 0:00,Kanyon,2022,5,31,1,0,15.15,18_25,small,0
I820049,C242846,Female,35,Technology,4,4200,Credit Card,11/30/2021 0:00,Metropol AVM,2021,11,30,1,0,1050,26_35,bulk,0
I252592,C280650,Female,38,Clothing,1,300.08,Credit Card,10/23/2021 0:00,Metropol AVM,2021,10,23,5,1,300.08,36_45,single,0
I440518,C320115,Female,23,Cosmetics,5,203.3,Cash,1/9/2021 0:00,Metrocity,2021,1,9,5,1,40.66,18_25,bulk,7.105427357601002e-15
I492490,C205046,Male,24,Toys,3,107.52,Credit Card,6/5/2021 0:00,Istinye Park,2021,6,5,5,1,35.84,18_25,small,-7.11E-15
I241934,C279869,Male,45,Technology,5,5250,Cash,2/3/2021 0:00,Kanyon,2021,2,3,2,0,1050,36_45,bulk,0
I260217,C871912,Female,64,Food & Beverage,1,5.23,Credit Card,2/5/2021 0:00,Mall of Istanbul,2021,2,5,4,0,5.23,56_plus,single,0
I306865,C754382,Female,31,Clothing,3,900.24,Credit Card,11/12/2022 0:00,Emaar Square Mall,2022,11,12,5,1,300.08,26_35,small,0
I242660,C670293,Female,26,Food & Beverage,5,26.15,Credit Card,4/21/2021 0:00,Cevahir AVM,2021,4,21,2,0,5.23,26_35,bulk,-8.88E-16
I394651,C142638,Female,51,Toys,3,107.52,Credit Card,1/12/2023 0:00,Kanyon,2023,1,12,3,0,35.84,46_55,small,-7.11E-15
I338424,C280468,Female,28,Clothing,4,1200.32,Debit Card,8/16/2022 0:00,Kanyon,2022,8,16,1,0,300.08,26_35,bulk,0
I252249,C401409,Male,63,Clothing,4,1200.32,Cash,9/12/2021 0:00,Emaar Square Mall,2021,9,12,6,1,300.08,56_plus,bulk,0
I227549,C162244,Male,60,Clothing,2,600.16,Cash,9/15/2021 0:00,Kanyon,2021,9,15,2,0,300.08,56_plus,small,0
I274915,C723721,Male,60,Souvenir,4,46.92,Cash,5/22/2021 0:00,Metropol AVM,2021,5,22,5,1,11.73,56_plus,bulk,0
I269101,C339411,Female,53,Clothing,2,600.16,Credit Card,8/14/2022 0:00,Kanyon,2022,8,14,6,1,300.08,46_55,small,0
I289063,C547896,Male,20,Toys,2,71.68,Cash,5/4/2022 0:00,Mall of Istanbul,2022,5,4,2,0,35.84,18_25,small,0
I231480,C188711,Female,25,Clothing,1,300.08,Cash,11/1/2021 0:00,Metropol AVM,2021,11,1,0,0,300.08,18_25,single,0
I160204,C168417,Female,54,Books,2,30.3,Credit Card,10/14/2022 0:00,Forum Istanbul,2022,10,14,4,0,15.15,46_55,small,0
I323141,C243309,Female,60,Clothing,1,300.08,Credit Card,7/16/2022 0:00,Metrocity,2022,7,16,5,1,300.08,56_plus,single,0
I161436,C119274,Female,38,Food & Beverage,3,15.69,Credit Card,5/2/2022 0:00,Kanyon,2022,5,2,0,0,5.23,36_45,small,-8.88E-16
I236554,C247260,Male,57,Clothing,3,900.24,Debit Card,4/12/2021 0:00,Mall of Istanbul,2021,4,12,0,0,300.08,56_plus,small,0
I133476,C134569,Male,49,Shoes,4,2400.68,Credit Card,4/28/2022 0:00,Kanyon,2022,4,28,3,0,600.17,46_55,bulk,0
I179351,C180895,Female,41,Clothing,2,600.16,Debit Card,11/5/2021 0:00,Mall of Istanbul,2021,11,5,4,0,300.08,36_45,small,0
I221949,C173222,Male,55,Clothing,2,600.16,Debit Card,4/19/2021 0:00,Metrocity,2021,4,19,0,0,300.08,46_55,small,0
I241186,C183678,Female,61,Clothing,1,300.08,Cash,3/1/2021 0:00,Zorlu Center,2021,3,1,0,0,300.08,56_plus,single,0
I865829,C601275,Male,23,Food & Beverage,4,20.92,Cash,3/18/2022 0:00,Mall of Istanbul,2022,3,18,4,0,5.23,18_25,bulk,0
I189484,C311036,Female,42,Food & Beverage,5,26.15,Debit Card,11/18/2022 0:00,Mall of Istanbul,2022,11,18,4,0,5.23,36_45,bulk,-8.88E-16
I427203,C154313,Male,34,Clothing,1,300.08,Credit Card,2/20/2022 0:00,Metrocity,2022,2,20,6,1,300.08,26_35,single,0
I158330,C763498,Female,61,Technology,3,3150,Debit Card,9/12/2022 0:00,Forum Istanbul,2022,9,12,0,0,1050,56_plus,small,0
I381652,C827250,Female,24,Cosmetics,1,40.66,Cash,1/2/2021 0:00,Kanyon,2021,1,2,5,1,40.66,18_25,single,0
I746826,C847900,Male,36,Souvenir,4,46.92,Credit Card,1/29/2023 0:00,Metrocity,2023,1,29,6,1,11.73,36_45,bulk,0
I289239,C712084,Female,66,Technology,1,1050,Cash,3/17/2022 0:00,Metrocity,2022,3,17,3,0,1050,56_plus,single,0
I133196,C247667,Male,38,Technology,3,3150,Credit Card,8/24/2022 0:00,Istinye Park,2022,8,24,2,0,1050,36_45,small,0
I174599,C193130,Female,49,Cosmetics,5,203.3,Credit Card,6/1/2021 0:00,Metropol AVM,2021,6,1,1,0,40.66,46_55,bulk,7.105427357601002e-15
